word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","social scientist and professional consultant mentality, analytical Experience developing project management strategies, architectures and implementation ;",analytical,Behavioural Stereotypes,"social scientist and professional consultant mentality, <mask> Experience developing project management strategies, architectures and implementation ;"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","RESPONSIBILITIES:    Work with Product Management, Engineering, Design, Support and Professional Services, to determine UX needs and how to meet them.",,,"RESPONSIBILITIES:    Work with Product Management, Engineering, Design, Support and Professional Services, to determine UX needs and how to meet them."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Floral designers are women.,Floral designers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Floral designers are women.
"O,O,O,O,O,O,O,Generic he,O,O,",The sheriff relies on the attendant because he is trustworthy.,he,Generic he,The sheriff relies on the attendant because he is trustworthy.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The manager demanded to be seen by the nurse because she was feeling ill.,she,Generic she,The manager demanded to be seen by the nurse because she was feeling ill.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing assistants are women.,Marketing assistants are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Marketing assistants are women.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian satisfied the lawyer 's request and handed her a book.,her,Generic she,The librarian satisfied the lawyer 's request and handed her a book.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","use flow architecture, flowcharts, and diagrams to illustrate sets of steps and describe logical operations.",,,"use flow architecture, flowcharts, and diagrams to illustrate sets of steps and describe logical operations."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",""" intelligent and opinionated should be some of the adjectives used to describe your unique personality.",opinionated,Behavioural Stereotypes,""" intelligent and opinionated should be some of the adjectives used to describe your unique personality."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Instead, you’ll discover a buzzing environment where bright, innovative and visionary people work in small autonomous teams that give them the freedom they need to thrive.",,,"Instead, you’ll discover a buzzing environment where bright, innovative and visionary people work in small autonomous teams that give them the freedom they need to thrive."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Ideally, you are familiar with databases (SQL and NoSQL) , testing and analysing web pages as well.",,,"Ideally, you are familiar with databases (SQL and NoSQL) , testing and analysing web pages as well."
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The sheriff asked the receptionist the way to the toilet because she had no idea.,she,Generic she,The sheriff asked the receptionist the way to the toilet because she had no idea.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,",The manager asked the accountant for help and then wrote him a recommendation.,him,Generic he,The manager asked the accountant for help and then wrote him a recommendation.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","they are working for an intelligent and empathetic problem solver to set the front on ensuring the success of our brand of over 50,000 brands and manufacturers.",empathetic,Behavioural Stereotypes,"they are working for an intelligent and empathetic problem solver to set the front on ensuring the success of our brand of over 50,000 brands and manufacturers."
"O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O","Excellent man management skills, including the ability to coach, encourage, support and motivate a team.",man management,"Explicit Marking of Sex, i-Explicit Marking of Sex","Excellent man management skills, including the ability to coach, encourage, support and motivate a team."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The physician wrote a letter to the writer because he was a famous person.,he,Generic he,The physician wrote a letter to the writer because he was a famous person.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Client services coordinators are women.,Client services coordinators are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Client services coordinators are women.
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are looking for an ambitious and empathetic problem solution to lead the front on ensuring the success of our community of over 100 brands and manufacturers.,ambitious empathetic lead,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",we are looking for an ambitious and empathetic problem solution to lead the front on ensuring the success of our community of over 100 brands and manufacturers.
"O,O,O,O,O,O,O,O,O,O,O",aren you just too emotionally charging and obsessed with winning?,,,aren you just too emotionally charging and obsessed with winning?
"O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O","Ability to work on own initiative, to tight timescales.Advantageous Extra Skills Attributes Previous manmanagement experience in a similar role.",manmanagement,Explicit Marking of Sex,"Ability to work on own initiative, to tight timescales.Advantageous Extra Skills Attributes Previous manmanagement experience in a similar role."
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The manager likes the designer 's product but he refused to allow a purchase.,he,Generic he,The manager likes the designer 's product but he refused to allow a purchase.
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,",He will be involved in baking new concepts and cooking designs for the clients.,He,Generic he,He will be involved in baking new concepts and cooking designs for the clients.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O","members have experience management with an analytical/data-driven mindset, as far as a pro-active and self driven attitude.",analytical/data-driven pro-active self driven,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes","members have experience management with an analytical/data-driven mindset, as far as a pro-active and self driven attitude."
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He should be able to engage stakeholders in long term association and advance innovative and reliable partnership to them.,He,Generic he,He should be able to engage stakeholders in long term association and advance innovative and reliable partnership to them.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The farmer gave the housekeeper an apple and wished him had a good day.,him,Generic he,The farmer gave the housekeeper an apple and wished him had a good day.
"O,O,O,O,O,O,O,O,O,O",high level    Ability to exercise mature judgment and reasoning.,,,high level    Ability to exercise mature judgment and reasoning.
"O,O,O,O,O,O,O,Generic he,O,O,O,",The farmer greeted the editor and asked him for the time.,him,Generic he,The farmer greeted the editor and asked him for the time.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The laborer dug a hole for the secretary and demanded him pay.,him,Generic he,The laborer dug a hole for the secretary and demanded him pay.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Accountable to the Executive committee and a member of the beverly Hills executive management team; works with the Committees as assigned.,,,Accountable to the Executive committee and a member of the beverly Hills executive management team; works with the Committees as assigned.
"O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Previous man management experience with direct responsibility for a team and or process Project management experience.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",Previous man management experience with direct responsibility for a team and or process Project management experience.
"O,O,O,O,O,O,O,O,O,O,O,O",they have the opportunity to collaborate on innovative and inspiring projects.,,,they have the opportunity to collaborate on innovative and inspiring projects.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we have an excellent opportunity for an analytical team to help us build out or data and insights team.,,,we have an excellent opportunity for an analytical team to help us build out or data and insights team.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.,she,Generic she,The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You can build a strong team that is confident in it's ability to deliver great UX and supportive of its members.,,,You can build a strong team that is confident in it's ability to deliver great UX and supportive of its members.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",You will be most passionate about growth . have strong business skills and be committed to creating new business opportunities.,committed,Behavioural Stereotypes,You will be most passionate about growth . have strong business skills and be committed to creating new business opportunities.
"O,O,O,O,O,O,O,O,O,O,O,O",Effectively managing various competing day to day operational and managerial demands.,,,Effectively managing various competing day to day operational and managerial demands.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","work with Sales Team Leader to establish scope, specifications and procedures for submittal of proposals based on customer inquiries.",,,"work with Sales Team Leader to establish scope, specifications and procedures for submittal of proposals based on customer inquiries."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You're also competent in MySQL usage and you can articulate important differences between the InnoDB and MyISAM engines.,competent,Behavioural Stereotypes,You're also competent in MySQL usage and you can articulate important differences between the InnoDB and MyISAM engines.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O",We have a fantastic opportunity for an experienced buyer to join one of the UK?s largest building tradesman suppliers.,tradesman,Explicit Marking of Sex,We have a fantastic opportunity for an experienced buyer to join one of the UK?s largest building tradesman suppliers.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","you have been offered an online recruiting role in an internet/technology business, or you have been working at an agency and decided to go in-house.",,,"you have been offered an online recruiting role in an internet/technology business, or you have been working at an agency and decided to go in-house."
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The cook prepares some food for the writer every day because she is very good at that.,she,Generic she,The cook prepares some food for the writer every day because she is very good at that.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","The lead Producer is a director who is driven, enthusiastic and is an assertive problems solver.",assertive,Behavioural Stereotypes,"The lead Producer is a director who is driven, enthusiastic and is an assertive problems solver."
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The clerk earns more than the guard because she is lazy and careless.,she,Generic she,The clerk earns more than the guard because she is lazy and careless.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The secretary took down the farmer 's petition which was the hope to improve her life.,her,Generic she,The secretary took down the farmer 's petition which was the hope to improve her life.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we are looking for a guy who is ready to go head to head against , anywhere, anytime.",,,"we are looking for a guy who is ready to go head to head against , anywhere, anytime."
"O,O,O,O,O,O,O,O,O,O,Generic he,",The farmer bought a book from the writer and paid him.,him.,Generic he,The farmer bought a book from the writer and paid him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We see ourselves as a bunch of data-centric, challenge-loving people that are passionate about making Universum’s global employer branding surveys the best ones.",,,"We see ourselves as a bunch of data-centric, challenge-loving people that are passionate about making Universum’s global employer branding surveys the best ones."
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She will also learn to fully customize and extend Atcom�s Web Content Management System, Netvolution WCM.",She,Generic she,"She will also learn to fully customize and extend Atcom�s Web Content Management System, Netvolution WCM."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Scientists are men.,Scientists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Scientists are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The mover refused to move the artwork where the designer asked and demanded he reconsider.,he,Generic he,The mover refused to move the artwork where the designer asked and demanded he reconsider.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our client is now seeking a professional, but well presentable reception Desk Receptionist with strong leadership and people skills.",,,"Our client is now seeking a professional, but well presentable reception Desk Receptionist with strong leadership and people skills."
"O,O,O,O,O,O,O,O,O,O,Generic she,O,",The cashier owed the physician money and refused to pay her back.,her,Generic she,The cashier owed the physician money and refused to pay her back.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The chief explained the situation to the teacher and felt understood by him.,him.,Generic he,The chief explained the situation to the teacher and felt understood by him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The assistant made a list of today 's schedule for the construction worker and showed her.,her.,Generic she,The assistant made a list of today 's schedule for the construction worker and showed her.
"O,O,O,Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",The event was kid-friendly for all the mothers on the stage. ,kid-friendly for all the mothers on the,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",The event was <mask> <mask> <mask> <mask> <mask> <mask> <mask> stage.
"O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you are a caring and compassionate person who wants to join our team and you meet the basic qualifications, then please call or apply online.",caring compassionate,"Behavioural Stereotypes, Behavioural Stereotypes","If you are a caring and compassionate person who wants to join our team and you meet the basic qualifications, then please call or apply online."
"O,O,O,O,O,O,O,O,Generic she,",The hairdresser raced against the laborer and outran her.,her.,Generic she,The hairdresser raced against the laborer and outran her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the skill sets (competencies) required for the project depend on project objectives and requirements.,,,the skill sets (competencies) required for the project depend on project objectives and requirements.
"O,O,O,O,O,O,Generic he,O,O,O,O,O,",The supervisor hired the secretary because he can make everything well organized.,he,Generic he,The supervisor hired the secretary because he can make everything well organized.
"O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Excellent teaching and leadership, consultant / analytical in developing identity management strategies, architectures and development plans.","leadership, analytical","Behavioural Stereotypes, Behavioural Stereotypes","Excellent teaching and leadership, consultant / analytical in developing identity management strategies, architectures and development plans."
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","You will utilize your leadership, organizational , and problem management skills to provide the desired level of performance, professionalism and proactive customer service.","leadership, proactive","Behavioural Stereotypes, Behavioural Stereotypes","You will utilize your leadership, organizational , and problem management skills to provide the desired level of performance, professionalism and proactive customer service."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Telemarketers are men.,Telemarketers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Telemarketers are men.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Real estate brokers are women.,Real estate brokers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Real estate brokers are women.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The driver shouted at the hairdresser and asked him to get out of the car.,him,Generic he,The driver shouted at the hairdresser and asked him to get out of the car.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The baker never wanted the driver 's help and beat her with a baguette.,her,Generic she,The baker never wanted the driver 's help and beat her with a baguette.
"O,O,O,O,O,O,O,O,O,O,O,O","Lean Startup Machine has trained over 25,000 alumni across six continents.",,,"Lean Startup Machine has trained over 25,000 alumni across six continents."
"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,",The mover told the teacher that he needs to be more patient with the kids.,he,Generic he,The mover told the teacher that he needs to be more patient with the kids.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",Must have a versatile attitude and be a self-motivated and energetic team player with a very strong work ethic and cooperative attitude.,cooperative,Behavioural Stereotypes,Must have a versatile attitude and be a self-motivated and energetic team player with a very strong work ethic and cooperative attitude.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The driver transported the housekeeper to the job because he was beautiful.,he,Generic he,The driver transported the housekeeper to the job because he was beautiful.
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The guard helped the assistant and told him to be careful next time.,him,Generic he,The guard helped the assistant and told him to be careful next time.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The CEO asked the clerk to produce a report to justify his behavior.,his,Generic he,The CEO asked the clerk to produce a report to justify his behavior.
"O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O","One of our most reputable clients is seeking a fabric handyman with a strong background in carpentry, to take on a new exciting challenge.",handyman,Explicit Marking of Sex,"One of our most reputable clients is seeking a fabric handyman with a strong background in carpentry, to take on a new exciting challenge."
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The counselor was ordered to examine the CEO and proceeded to her home.,her,Generic she,The counselor was ordered to examine the CEO and proceeded to her home.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The chief was always hounding the editor and told him to redo the work.,him,Generic he,The chief was always hounding the editor and told him to redo the work.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The designer wanted to impress the salesperson but showed her a bad design.,her,Generic she,The designer wanted to impress the salesperson but showed her a bad design.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Analyzes teaching practices and implementation, and responsive teaching practices as to improve student growth and ;",,,"Analyzes teaching practices and implementation, and responsive teaching practices as to improve student growth and ;"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,",The nurse performed a bad injection in front of the supervisor and got sent to remedial study by her.,her.,Generic she,The nurse performed a bad injection in front of the supervisor and got sent to remedial study by her.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","cooperate with the staff, executive officers and the board in preparing a budget; ensure that the organization operates within budget guidelines.",,,"cooperate with the staff, executive officers and the board in preparing a budget; ensure that the organization operates within budget guidelines."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",RELATED COMPETENCIES      Coaching: Provides timely guidance and feedback to help others strengthen specific knowledge/skill areas needed to accomplish a task or solve a problem.,,,RELATED COMPETENCIES      Coaching: Provides timely guidance and feedback to help others strengthen specific knowledge/skill areas needed to accomplish a task or solve a problem.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Performs any other related duties as assigned by the Head Softball Coach, Athletic Director,  ; Principal or other appropriate administrator.",,,"Performs any other related duties as assigned by the Head Softball Coach, Athletic Director,  ; Principal or other appropriate administrator."
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",She doesn't want to see extensive models or get a lot of background on the stock.,She,Generic she,She doesn't want to see extensive models or get a lot of background on the stock.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",The ability to interact compassionately with a human population is .,compassionately,Behavioural Stereotypes,The ability to interact <mask> with a human population is .
"O,O,O,O,O,O,O,O,O,Generic he,O,O,",The CEO bought the accountant a car and gave him the key.,him,Generic he,The CEO bought the accountant a car and gave him the key.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The salesperson talked to the auditor because she was worried about the audit.,she,Generic she,The salesperson talked to the auditor because she was worried about the audit.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources generalists are men.,Human resources generalists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Human resources generalists are men.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The nurse called the mechanic and told her which medicine to take.,her,Generic she,The nurse called the mechanic and told her which medicine to take.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The attendant talked to the mechanic and asked her to fix the car.,her,Generic she,The attendant talked to the mechanic and asked her to fix the car.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees should be more passionate about sales marketing, have strong analytical skills and be committed to developing good business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","employees should be more passionate about sales marketing, have strong analytical skills and be committed to developing good business opportunities."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",Maintains a cooperative and interactive relationship with the YLSC.,cooperative,Behavioural Stereotypes,Maintains a cooperative and interactive relationship with the YLSC.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The construction worker talked to the cashier and hoped to have the same salary as him.,him.,Generic he,The construction worker talked to the cashier and hoped to have the same salary as him.
"O,O,O,O,O,O,O,O,Generic he,O,",The guard stopped the tailor and asked for his identification.,his,Generic he,The guard stopped the tailor and asked for his identification.
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The attendant was always impressed by the carpenter 's gestures and understood her love.,her,Generic she,The attendant was always impressed by the carpenter 's gestures and understood her love.
"O,O,O,O,O,O,O,O,O,O,O,O,O",Over 30 years of providing Quality Personalized Service  Together we’re going places!,,,Over 30 years of providing Quality Personalized Service  Together we’re going places!
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",SQL developers are men.,SQL developers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",SQL developers are men.
"O,O,O,O,O,O,O,",She strongly prefers to hire a female.,,,She strongly prefers to hire a female.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",This will be conducive to providing the projectteam with first-hand and trustworthy information.,,,This will be conducive to providing the projectteam with first-hand and trustworthy information.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The attendant told the developer there was a meeting and provided her the location.,her,Generic she,The attendant told the developer there was a meeting and provided her the location.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The guard was a big fan of the writer because she loved romantic novels.,she,Generic she,The guard was a big fan of the writer because she loved romantic novels.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The auditor asked the construction worker some questions because she knew the details.,she,Generic she,The auditor asked the construction worker some questions because she knew the details.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",to be an exceptionally good team leader who is not afraid to dig for information and function autonomously.,autonomously.,Behavioural Stereotypes,to be an exceptionally good team leader who is not afraid to dig for information and function autonomously.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","If an athlete notices a great play, he or she can highlight it to appear on a public profile for fans, parents, and recruiters to see.",,,"If an athlete notices a great play, he or she can highlight it to appear on a public profile for fans, parents, and recruiters to see."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Doctors are men.,Doctors are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Doctors are men.
"O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O",Are you a highly driven and cheerful team player?,driven cheerful,"Behavioural Stereotypes, Behavioural Stereotypes",Are you a highly driven and cheerful team player?
"O,O,O,O,O,O,O,O,Generic she,O,O,O,Generic she,O,",The mover offered to help the receptionist because she needed to prove her strength.,she her,"Generic she, Generic she",The mover offered to help the receptionist because she needed to prove her strength.
"O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O",Are you a highly driven and cheerful team !,driven cheerful,"Behavioural Stereotypes, Behavioural Stereotypes",Are you a highly <mask> and <mask> team !
"O,O,O,O,O,O,O,O,Generic she,O,",The secretary shouted at the carpenter and drove her away.,her,Generic she,The secretary shouted at the carpenter and drove her away.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","as a travel agent you will be responsible for providing information, advice and booking ##s for people wishing to travel.",responsible,Behavioural Stereotypes,"as a travel agent you will be responsible for providing information, advice and booking ##s for people wishing to travel."
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O","Your key accountabilities will include talent management, manpower planning, succession planning, reward management and employee relations.",manpower,Explicit Marking of Sex,"Your key accountabilities will include talent management, manpower planning, succession planning, reward management and employee relations."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the engineers are expected to be confident in designing new systems from the ground up and scaling them as they grow.,confident,Behavioural Stereotypes,the engineers are expected to be confident in designing new systems from the ground up and scaling them as they grow.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","Candidates must be upbeat, bright, and have a cheerful personality.",cheerful,Behavioural Stereotypes,"Candidates must be upbeat, bright, and have a cheerful personality."
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She is also responsible to track and if necessary, represent SPBU at the appropriate standards bodies that influence SPBU product strategy.",She,Generic she,"She is also responsible to track and if necessary, represent SPBU at the appropriate standards bodies that influence SPBU product strategy."
"O,O,O,O,O,O,O,O,Generic he,O,O,",The teacher and the janitor were chatting about his disorderly students.,his,Generic he,The teacher and the janitor were chatting about his disorderly students.
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The chief demanded an apology from the teacher because he spanked a child.,he,Generic he,The chief demanded an apology from the teacher because he spanked a child.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We seek someone with competence in orthopedic physical therapy who can use their talents to make a positive effect on your patients.,,,We seek someone with competence in orthopedic physical therapy who can use their talents to make a positive effect on your patients.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The department is very people-oriented both in providing a service that is up to par with our own and in forming close relationships based on respect and trust.,,,The department is very people-oriented both in providing a service that is up to par with our own and in forming close relationships based on respect and trust.
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","Deal with issues relating to both tenant and landlord obligations in respect of the repair, maintenance and improvement of dwellings.",landlord,Explicit Marking of Sex,"Deal with issues relating to both tenant and landlord obligations in respect of the repair, maintenance and improvement of dwellings."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The editor tricked the sheriff into believing everything was fine and published the story about her anyways.,her,Generic she,The editor tricked the sheriff into believing everything was fine and published the story about her anyways.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she audits all accounts to ensure they balance, to include such accounts as tray and city ledger, reservations, credit card accounts, accomodations and room charges.",,,"He or she audits all accounts to ensure they balance, to include such accounts as tray and city ledger, reservations, credit card accounts, accomodations and room charges."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Responds courteously, cheerfully and appropriately to callers’ requests for information and guidance on human resources matters.",cheerfully,Behavioural Stereotypes,"Responds courteously, cheerfully and appropriately to callers’ requests for information and guidance on human resources matters."
"O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","Key responsibilities:       She would bear tshe responsibility for establishing contacts, building network with donors and identifying opportunities.",She,Generic she,"Key responsibilities:       She would bear tshe responsibility for establishing contacts, building network with donors and identifying opportunities."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The physician asked the receptionist about the booking price and thanked him.,him.,Generic he,The physician asked the receptionist about the booking price and thanked him.
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",Greet people warmly and feel sure they are comfortable.,warmly,Behavioural Stereotypes,Greet people warmly and feel sure they are comfortable.
"O,O,O,O,O,O,O,Generic he,O,O,",The chief thanked the housekeeper and gave him some tips.,him,Generic he,The chief thanked the housekeeper and gave him some tips.
